Somme de COUNT(PRICE_CATEGORY);Étiquettes de colonnes;;;;;
Étiquettes de lignes;Budget;Confort;Luxe;Premium;Standard;Total général
Amsterdam Centrum;4;21;;4;19;48
Banne Buiksloot;6;2;;;6;14
Belváros;;;;1;;1
Bos en Lommer;9;12;;;15;36
Brockley;;1;;;;1
Buiksloterham;1;2;;5;4;12
Buikslotermeer;;5;;;4;9
Buitenveldert-Oost;;1;;;3;4
Buitenveldert-West;3;5;;;4;12
Cannes;;;;1;;1
De Pijp;14;42;1;11;36;104
De Wallen;5;3;;1;26;35
El Raval;;;;;1;1
Frederik Hendrikbuurt;1;9;;2;8;20
Glòries - El Parc;8;;;;2;10
Grachtengordel;10;51;1;21;62;145
Hampstead;;1;;;;1
Hoofddorppleinbuurt;3;17;;4;26;50
IJplein en Vogelbuurt;4;3;;1;3;11
Indische Buurt;8;13;1;2;17;41
Jordaan;6;47;2;12;43;110
Józsefváros - District VIII.;1;;;;;1
Kadoelen;;6;;;3;9
La Combe;;1;;;;1
La Sagrada Família;;;;;1;1
Landelijk Noord;2;1;;;2;5
LB of Islington;;;;;1;1
Museumkwartier;3;5;1;6;8;23
Niagara;;1;;;;1
Nieuwendam-Noord;5;1;;;3;9
Nieuwmarkt en Lastage;3;23;1;1;30;58
Oost;6;19;;5;20;50
Oostelijke Eilanden en Kadijken;4;6;;3;12;25
Oosterparkbuurt;8;26;1;5;30;70
Oostzanerwerf;4;3;;;13;20
Osdorp;2;1;;1;9;13
Oud-West;19;74;;30;90;213
Oud-Zuid;;5;1;3;17;26
Overtoomse Veld;6;;;;1;7
Rivierenbuurt;2;8;1;5;12;28
Sant Antoni;;1;;;;1
Slotermeer-Noordoost;4;1;;;1;6
Slotermeer-Zuidwest;2;2;;1;;5
Slotervaart;11;1;;;8;20
Spaarndammer en Zeeheldenbuurt;3;13;;;14;30
Stadionbuurt;7;5;;3;5;20
Tuindorp Buiksloot;3;2;;1;4;10
Tuindorp Nieuwendam;1;2;;;1;4
Tuindorp Oostzaan;4;6;;;9;19
Volewijck;;1;2;;10;13
Watergraafsmeer;4;13;1;2;16;36
Weesperbuurt en Plantage;3;10;1;7;12;33
Westelijke Eilanden;1;11;1;4;17;34
Zeeburg;2;8;;1;19;30
Total général;192;491;15;143;647;1488
